Reference, Value, Footprint, Datasheet, Description, Height, Manufacturer_Name, Manufacturer_Part_Number
"J1","Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","~"
"SW37","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D39","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW33","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D35","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW29","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D31","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW25","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D27","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW21","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D23","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW17","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D19","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW13","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D15","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW9","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D11","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW5","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D7","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW1","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D1","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"D16","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW10","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D12","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW6","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D8","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW2","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D2","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW38","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D40","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW14","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D20","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW18","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D24","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW22","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D28","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW26","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D32","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW30","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D36","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW34","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D18","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW12","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D14","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW8","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D10","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"D4","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW40","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D42","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW16","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D22","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW20","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D26","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW24","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D30","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW28","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D34","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW32","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D38","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW36","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D17","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW11","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D13","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW7","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D9","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"D3","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW39","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D41","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW15","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D21","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW19","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D25","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW23","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D29","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW27","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D33","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW31","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"D37","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW35","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"R1","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"D5","LD271","LED_THT:LED_D5.0mm_IRGrey","http://www.alliedelec.com/m/d/40788c34903a719969df15f1fbea1056.pdf"
"R2","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"D6","LD271","LED_THT:LED_D5.0mm_IRGrey","http://www.alliedelec.com/m/d/40788c34903a719969df15f1fbea1056.pdf"
"SW3","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"SW4","SW_MEC_5E","Button_Switch_THT:SW_PUSH_6mm_H5mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"R3","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"D43","LD271","LED_THT:LED_D5.0mm_IRGrey","http://www.alliedelec.com/m/d/40788c34903a719969df15f1fbea1056.pdf"
"IC1","REYAX_RYLR896","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Horizontal","http://reyax.com/products/rylr896/","RYLR896 transceiver module","25","Reyax","REYAX RYLR896"
"U1","Pico","MCU_RaspberryPi_and_Boards:RPi_Pico_SMD_TH",""
